age,gender,height_cm,weight_kg,sit and bend forward_cm,sit-ups counts,broad jump_cm
63.0,0,164.6,65.8,13.0,31.0,179.0
25.0,0,173.9,78.0,15.9,55.0,231.0
29.0,0,174.6,92.1,15.0,42.0,192.0
30.0,0,173.3,67.5,7.0,54.0,244.0
26.0,1,164.1,58.1,20.3,50.0,183.0
23.0,1,158.0,57.0,24.0,46.0,188.0
24.0,0,184.8,66.5,-13.6,31.0,236.0
21.0,0,175.5,73.5,16.5,47.0,215.0
23.0,0,175.9,74.48,9.4,49.0,234.0
56.0,0,173.7,76.3,16.5,38.0,215.0
21.0,1,155.7,51.0,16.2,34.0,164.0
39.0,0,169.2,84.6,13.9,34.0,165.0
22.0,1,161.8,43.9,28.1,33.0,166.0
39.0,0,180.6,73.2,16.1,46.0,226.0
45.0,0,168.0,62.0,20.2,54.0,211.0
31.0,0,179.9,78.4,5.7,36.0,205.0
50.0,1,161.2,52.1,21.7,24.0,145.0
32.0,0,168.2,62.9,20.7,56.0,226.0
25.0,0,167.6,59.6,17.7,38.0,218.0
50.0,0,166.6,74.5,11.2,30.0,192.0
25.0,0,176.6,71.1,11.0,34.0,224.0
46.0,0,170.9,74.36,7.3,39.0,209.0
61.0,0,173.5,68.8,14.4,28.0,181.0
28.0,0,173.9,76.5,18.9,53.0,208.0
42.0,0,179.2,84.3,16.4,44.0,213.0
28.0,1,158.8,52.2,24.9,27.0,141.0
25.0,0,168.8,71.2,9.5,47.0,210.0
61.0,0,159.5,54.8,12.0,19.0,141.0
24.0,1,165.2,53.7,23.3,45.0,163.0
27.0,0,175.3,77.0,17.9,67.0,259.0
34.0,0,170.4,64.8,5.8,45.0,202.0
29.0,1,167.2,54.4,14.8,0.0,115.0
60.0,0,170.0,76.0,18.3,27.0,197.0
21.0,0,174.7,86.1,13.7,57.0,277.0
26.0,0,175.3,67.3,-14.5,45.0,230.0
48.0,0,174.8,74.4,9.6,42.0,193.0
24.0,0,171.9,70.1,18.7,44.0,198.0
21.0,1,167.3,76.1,14.0,44.0,162.0
46.0,0,171.9,64.8,1.9,23.0,198.0
23.0,0,182.2,82.7,18.2,57.0,227.0
23.0,1,161.0,52.5,24.8,41.0,184.0
59.0,0,166.1,71.0,4.9,26.0,177.0
26.0,0,174.3,80.1,17.3,62.0,238.0
29.0,0,168.0,83.5,15.8,62.0,229.0
45.0,0,172.5,77.8,15.6,42.0,203.0
26.0,0,180.6,78.4,9.9,52.0,211.0
41.0,1,158.4,54.8,18.6,40.0,159.0
56.0,0,171.1,62.6,27.2,45.0,217.0
23.0,1,156.0,51.7,20.0,46.0,157.0
61.0,0,162.5,72.7,18.3,31.0,169.0
44.0,1,159.7,66.9,12.6,15.0,137.0
38.0,0,168.2,75.4,10.9,43.0,221.0
64.0,1,159.9,56.7,21.9,23.0,142.0
35.0,0,163.8,66.1,18.8,65.0,202.0
44.0,1,159.9,49.8,25.5,19.0,153.0
35.0,1,153.2,44.6,21.4,33.0,129.0
21.0,1,160.0,52.1,21.9,49.0,178.0
39.0,0,177.7,68.6,2.8,44.0,240.0
34.0,0,185.1,85.3,19.6,51.0,255.0
22.0,0,184.0,80.4,15.8,43.0,187.0
27.0,1,162.6,51.5,28.5,42.0,168.0
26.0,0,187.9,95.4,19.3,47.0,227.0
29.0,0,181.1,103.3,7.2,31.0,202.0
23.0,1,163.9,53.2,21.1,43.0,188.0
48.0,1,159.8,64.3,18.2,35.0,164.0
37.0,0,177.3,75.3,17.3,53.0,221.0
27.0,1,162.2,50.3,21.5,19.0,142.0
22.0,0,169.1,66.9,9.3,53.0,196.0
31.0,0,174.5,74.0,23.0,37.0,211.0
23.0,1,165.1,63.2,15.6,18.0,161.0
28.0,0,178.7,87.7,16.5,45.0,216.0
22.0,0,177.1,62.1,13.8,48.0,228.0
62.0,1,157.2,50.4,19.8,18.0,159.0
64.0,0,164.0,71.2,13.2,32.0,172.0
24.0,0,169.5,68.3,-1.7,37.0,185.0
23.0,0,172.8,76.4,14.5,58.0,226.0
27.0,0,181.6,70.9,14.4,49.0,214.0
32.0,1,164.5,59.6,27.6,36.0,170.0
26.0,0,183.2,89.3,8.8,54.0,201.0
21.0,0,170.7,72.4,10.0,50.0,204.0
61.0,0,158.6,43.2,10.3,26.0,130.0
33.0,0,169.0,74.5,16.0,53.0,267.0
54.0,0,174.5,73.7,16.8,45.0,165.0
25.0,1,168.1,53.9,26.5,46.0,185.0
26.0,0,164.1,63.4,14.6,44.0,223.0
64.0,1,146.1,57.7,9.2,0.0,75.0
31.0,0,176.7,80.32,17.2,57.0,221.0
43.0,1,164.0,58.6,16.8,31.0,156.0
39.0,0,184.3,95.0,6.4,32.0,213.0
31.0,1,157.0,49.3,22.4,40.0,171.0
61.0,0,164.6,70.4,11.5,26.0,160.0
64.0,0,164.7,64.3,13.3,34.0,135.0
54.0,1,150.1,56.5,20.3,15.0,135.0
42.0,1,157.0,76.8,12.1,14.0,113.0
52.0,0,182.0,80.7,8.6,41.0,185.0
39.0,0,181.9,95.0,24.9,62.0,228.0
21.0,0,179.5,80.3,1.4,55.0,233.0
37.0,1,169.0,60.9,16.3,23.0,155.0
28.0,0,175.1,81.7,5.4,55.0,225.0
21.0,0,180.1,62.3,12.1,46.0,251.0
22.0,0,177.8,90.5,-1.2,38.0,206.0
26.0,0,169.0,67.4,8.3,48.0,198.0
23.0,1,155.2,53.5,16.5,46.0,180.0
23.0,1,160.2,56.8,28.2,48.0,199.0
25.0,1,167.0,61.3,-6.5,22.0,169.0
25.0,1,168.1,57.5,19.8,30.0,174.0
45.0,0,160.1,64.8,1.3,3.0,43.0
26.0,0,174.6,72.3,16.7,48.0,243.0
21.0,0,182.6,86.8,-0.5,56.0,218.0
51.0,0,172.3,104.5,2.7,38.0,210.0
22.0,0,182.9,72.4,11.2,45.0,225.0
49.0,1,160.8,58.6,18.1,20.0,137.0
38.0,0,173.5,78.2,7.4,33.0,214.0
29.0,0,169.7,66.6,18.2,48.0,223.0
57.0,1,153.0,49.0,30.0,0.0,90.0
21.0,0,174.4,72.0,28.4,56.0,224.0
22.0,1,168.0,59.1,20.5,53.0,170.0
21.0,0,180.2,80.3,10.4,53.0,239.0
62.0,0,171.1,55.0,15.2,36.0,183.0
23.0,1,154.9,61.24,23.7,44.0,145.0
59.0,0,169.3,72.0,21.2,44.0,197.0
45.0,0,162.5,69.5,20.1,52.0,235.0
23.0,0,180.7,69.4,3.6,38.0,219.0
24.0,1,167.6,71.9,24.5,44.0,178.0
26.0,0,167.4,65.4,7.5,49.0,209.0
21.0,0,171.7,77.0,13.5,34.0,204.0
21.0,0,180.2,82.1,12.8,28.0,182.0
33.0,1,152.3,51.7,9.1,24.0,133.0
24.0,0,170.1,68.9,6.3,49.0,207.0
27.0,1,159.6,43.5,23.4,45.0,155.0
24.0,0,163.8,62.8,4.1,32.0,180.0
33.0,0,165.7,78.5,9.9,45.0,213.0
54.0,0,168.4,63.3,5.9,61.0,188.0
43.0,0,168.9,76.2,12.8,34.0,201.0
26.0,1,153.5,59.7,16.5,7.0,139.0
39.0,0,173.2,75.9,10.8,35.0,211.0
27.0,0,175.8,74.8,17.8,55.0,230.0
32.0,0,167.8,80.0,10.4,37.0,214.0
56.0,0,166.7,56.9,17.8,30.0,198.0
25.0,1,157.3,51.5,21.9,28.0,161.0
23.0,0,178.0,69.9,12.5,58.0,245.0
37.0,1,160.5,74.9,17.8,18.0,161.0
59.0,0,169.3,70.8,8.9,25.0,172.0
25.0,0,172.0,66.0,17.0,52.0,197.0
33.0,0,170.1,69.1,27.6,43.0,203.0
60.0,0,175.9,67.2,15.2,25.0,188.0
21.0,1,156.5,55.9,-10.9,58.0,156.0
26.0,0,173.6,70.8,11.8,63.0,205.0
25.0,1,159.3,52.7,9.9,32.0,157.0
64.0,1,160.8,55.6,31.0,25.0,105.0
21.0,1,164.7,55.3,22.0,44.0,179.0
51.0,0,172.6,70.74,18.1,54.0,216.0
43.0,0,167.1,58.5,3.2,50.0,216.0
35.0,0,177.3,72.4,13.0,58.0,236.0
25.0,0,186.3,89.2,12.4,49.0,286.0
39.0,1,164.1,52.8,25.8,33.0,159.0
21.0,0,175.2,74.1,24.8,56.0,230.0
34.0,1,156.9,49.4,23.1,35.0,162.0
29.0,0,174.7,79.0,17.2,74.0,241.0
22.0,0,184.6,76.8,16.2,57.0,229.0
57.0,1,158.1,57.6,20.5,32.0,142.0
28.0,0,175.4,69.5,16.2,54.0,249.0
56.0,1,164.4,57.9,16.1,23.0,135.0
28.0,0,173.7,70.74,18.7,67.0,261.0
41.0,1,161.4,67.9,21.0,33.0,150.0
60.0,0,171.6,62.4,18.3,24.0,160.0
21.0,0,173.1,69.5,1.7,53.0,238.0
60.0,1,160.0,76.9,-8.1,0.0,0.0
27.0,0,164.7,59.1,24.1,41.0,151.0
28.0,0,178.1,65.5,12.0,38.0,150.0
38.0,0,167.7,69.8,13.4,54.0,226.0
21.0,0,173.0,65.7,18.5,50.0,248.0
64.0,0,155.6,70.0,10.4,27.0,151.0
53.0,0,180.8,78.0,0.1,22.0,187.0
52.0,1,147.3,57.7,14.2,42.0,152.0
60.0,1,152.6,52.2,4.3,25.0,131.0
26.0,1,167.8,60.2,16.3,42.0,160.0
29.0,0,164.3,57.2,15.0,69.0,228.0
45.0,1,155.9,58.2,18.6,19.0,146.0
34.0,1,160.0,90.7,5.8,7.0,98.0
30.0,0,170.0,50.3,5.3,39.0,225.0
40.0,1,159.4,52.6,26.3,31.0,162.0
24.0,1,161.7,50.0,15.5,20.0,114.0
33.0,0,165.1,59.0,11.2,45.0,233.0
45.0,0,167.4,67.46,13.6,38.0,219.0
37.0,0,169.3,73.84,15.6,45.0,183.0
43.0,1,165.6,60.4,21.4,29.0,166.0
21.0,1,154.4,54.2,16.4,43.0,117.0
21.0,0,173.5,68.3,16.6,44.0,241.0
37.0,0,181.2,86.0,21.3,44.0,222.0
23.0,1,158.0,45.0,17.5,49.0,150.0
51.0,0,171.0,77.52,25.0,30.0,198.0
40.0,0,175.7,70.8,14.6,43.0,211.0
30.0,1,166.7,52.1,19.1,45.0,184.0
21.0,1,170.9,62.7,19.8,41.0,198.0
29.0,1,153.2,53.3,17.0,40.0,180.0
29.0,0,180.0,75.4,14.6,60.0,259.0
49.0,0,166.5,69.1,15.8,36.0,189.0
23.0,1,162.7,53.8,26.5,41.0,196.0
22.0,0,171.9,62.22,6.8,57.0,158.0
50.0,0,174.7,65.9,17.6,38.0,212.0
34.0,0,174.5,70.7,15.7,54.0,233.0
25.0,0,175.2,83.9,22.7,48.0,246.0
22.0,0,183.4,88.5,13.2,57.0,243.0
44.0,0,173.0,75.0,13.0,20.0,209.0
61.0,0,168.4,75.5,7.9,22.0,140.0
52.0,1,152.7,56.7,20.0,27.0,120.0
30.0,0,175.0,76.9,21.5,57.0,260.0
47.0,1,160.2,52.8,22.1,28.0,165.0
34.0,0,176.8,75.3,6.2,56.0,221.0
32.0,1,164.0,51.4,20.4,25.0,130.0
63.0,1,156.9,55.9,6.0,4.0,60.0
21.0,1,165.0,51.1,27.1,55.0,202.0
39.0,1,159.0,54.9,24.4,51.0,198.0
21.0,0,169.9,64.8,16.8,74.0,260.0
41.0,0,173.3,73.9,15.1,33.0,214.0
25.0,0,181.1,78.5,19.5,65.0,188.0
53.0,1,151.9,59.6,19.4,19.4,136.0
24.0,1,162.4,50.92,20.2,46.0,201.0
21.0,1,161.9,49.0,21.0,31.0,120.0
39.0,0,168.7,75.2,12.5,50.0,229.0
45.0,1,160.6,59.2,25.4,19.0,91.0
32.0,0,181.0,74.6,29.9,60.0,238.0
